03-11-2021,Symbol,Name,Price,Change,% Change,Volume,Avg Vol,Market Cap,PE Ratio,url
130,OPEN,,26.32,+2.63,+11.10%,9.514M,,15.193B,N/A,https://finance.yahoo.com/quote/OPEN?p=OPEN
131,COP,,59.83,+0.41,+0.69%,8.694M,,81.053B,N/A,https://finance.yahoo.com/quote/COP?p=COP
132,BIDU,,272.38,+17.24,+6.76%,10.649M,,91.683B,,https://finance.yahoo.com/quote/BIDU?p=BIDU
133,PYPL,,253.83,+11.76,+4.86%,9.234M,,297.281B,,https://finance.yahoo.com/quote/PYPL?p=PYPL
134,HST,,16.93,+0.39,+2.36%,9.186M,,11.942B,N/A,https://finance.yahoo.com/quote/HST?p=HST
135,VIR,,61.83,+15.01,+32.06%,9.324M,,7.904B,N/A,https://finance.yahoo.com/quote/VIR?p=VIR
136,HAL,,23.84,-0.30,-1.24%,9.178M,,21.185B,N/A,https://finance.yahoo.com/quote/HAL?p=HAL
137,TFC,,58.91,+0.11,+0.19%,9.15M,,79.364B,N/A,https://finance.yahoo.com/quote/TFC?p=TFC
138,PDD,,162.40,+14.26,+9.63%,9.082M,,199.156B,N/A,https://finance.yahoo.com/quote/PDD?p=PDD
139,BCRX,,12.99,-0.62,-4.56%,9.08M,,2.306B,N/A,https://finance.yahoo.com/quote/BCRX?p=BCRX
140,CLOV,,8.67,+0.56,+6.91%,9.186M,,3.507B,N/A,https://finance.yahoo.com/quote/CLOV?p=CLOV
141,KR,,34.94,-0.30,-0.85%,8.998M,,26.45B,,https://finance.yahoo.com/quote/KR?p=KR
142,BKR,,24.16,-0.22,-0.90%,8.987M,,25.136B,N/A,https://finance.yahoo.com/quote/BKR?p=BKR
143,MS,,83.25,+0.16,+0.19%,8.703M,,156.546B,,https://finance.yahoo.com/quote/MS?p=MS
144,FTI,,8.89,-0.20,-2.20%,8.873M,,3.866B,N/A,https://finance.yahoo.com/quote/FTI?p=FTI
145,CVE,,8.44,+0.13,+1.56%,8.818M,,16.993B,N/A,https://finance.yahoo.com/quote/CVE?p=CVE
146,DBX,,25.45,+0.97,+3.96%,8.862M,,10.555B,N/A,https://finance.yahoo.com/quote/DBX?p=DBX
147,MFC,,21.66,+0.19,+0.88%,2.827M,,41.989B,,https://finance.yahoo.com/quote/MFC?p=MFC
148,HL,,6.48,+0.21,+3.35%,8.69M,,3.468B,N/A,https://finance.yahoo.com/quote/HL?p=HL
149,AGNC,,16.31,-0.09,-0.55%,8.74M,,8.773B,N/A,https://finance.yahoo.com/quote/AGNC?p=AGNC
150,VST,,18.81,-0.71,-3.64%,8.224M,,9.099B,,https://finance.yahoo.com/quote/VST?p=VST
151,BMBL,,69.76,+6.85,+10.89%,8.698M,,8.046B,N/A,https://finance.yahoo.com/quote/BMBL?p=BMBL
152,ERIC,,13.43,+0.86,+6.84%,8.756M,,44.826B,N/A,https://finance.yahoo.com/quote/ERIC?p=ERIC
153,BILI,,110.44,+7.34,+7.12%,8.639M,,38.909B,N/A,https://finance.yahoo.com/quote/BILI?p=BILI
154,YSG,,16.45,-0.04,-0.24%,8.403M,,10.947B,N/A,https://finance.yahoo.com/quote/YSG?p=YSG
155,HBAN,,16.32,-0.03,-0.18%,8.907M,,16.602B,,https://finance.yahoo.com/quote/HBAN?p=HBAN
156,TMUS,,125.99,-1.42,-1.11%,8.824M,,156.58B,,https://finance.yahoo.com/quote/TMUS?p=TMUS
157,PTON,,117.65,+6.33,+5.69%,8.181M,,34.648B,N/A,https://finance.yahoo.com/quote/PTON?p=PTON
158,GOEV,,14.67,+1.78,+13.81%,8.15M,,3.457B,N/A,https://finance.yahoo.com/quote/GOEV?p=GOEV
159,FUTU,,160.51,+13.21,+8.97%,8.228M,,21.721B,N/A,https://finance.yahoo.com/quote/FUTU?p=FUTU
160,MGP,,32.68,-0.38,-1.15%,8.01M,,9.149B,,https://finance.yahoo.com/quote/MGP?p=MGP
161,GFI,,9.47,+0.37,+4.05%,8.091M,,8.291B,,https://finance.yahoo.com/quote/GFI?p=GFI
162,SCHW,,66.41,+1.38,+2.12%,8.613M,,125.006B,,https://finance.yahoo.com/quote/SCHW?p=SCHW
163,VEON,,1.8300,+0.0800,+4.57%,8.188M,,3.201B,N/A,https://finance.yahoo.com/quote/VEON?p=VEON
164,WORK,,41.10,+0.39,+0.96%,4.642M,,23.862B,N/A,https://finance.yahoo.com/quote/WORK?p=WORK
165,CLNE,,13.88,+0.29,+2.13%,7.836M,,2.765B,N/A,https://finance.yahoo.com/quote/CLNE?p=CLNE
166,FHN,,17.15,+0.02,+0.12%,7.716M,,9.526B,,https://finance.yahoo.com/quote/FHN?p=FHN
167,FITB,,38.01,-0.01,-0.03%,7.668M,,27.027B,,https://finance.yahoo.com/quote/FITB?p=FITB
168,INO,,10.57,+0.59,+5.91%,7.621M,,2.195B,N/A,https://finance.yahoo.com/quote/INO?p=INO
169,V,,226.15,+2.98,+1.34%,9.867M,,498.627B,,https://finance.yahoo.com/quote/V?p=V
170,GPS,,29.85,-0.30,-1.00%,5.733M,,11.165B,N/A,https://finance.yahoo.com/quote/GPS?p=GPS
171,AVTR,,28.15,+0.55,+1.99%,7.748M,,16.349B,,https://finance.yahoo.com/quote/AVTR?p=AVTR
172,BHC,,34.38,+1.56,+4.75%,10.316M,,12.211B,N/A,https://finance.yahoo.com/quote/BHC?p=BHC
173,MDLZ,,56.27,+0.08,+0.14%,7.438M,,80.632B,,https://finance.yahoo.com/quote/MDLZ?p=MDLZ
174,VTRS,,14.10,+0.04,+0.28%,8.355M,,17.02B,N/A,https://finance.yahoo.com/quote/VTRS?p=VTRS
175,MRNA,,140.47,+10.72,+8.26%,7.835M,,56.156B,N/A,https://finance.yahoo.com/quote/MRNA?p=MRNA
176,KEY,,21.10,-0.06,-0.28%,7.386M,,20.442B,,https://finance.yahoo.com/quote/KEY?p=KEY
177,PSTG,,22.74,+1.46,+6.86%,7.311M,,6.204B,N/A,https://finance.yahoo.com/quote/PSTG?p=PSTG
178,APA,,21.89,+0.26,+1.20%,7.357M,,8.271B,N/A,https://finance.yahoo.com/quote/APA?p=APA
179,WBA,,51.52,+1.00,+1.98%,7.324M,,44.515B,N/A,https://finance.yahoo.com/quote/WBA?p=WBA
180,LUV,,58.47,-0.04,-0.07%,7.295M,,34.537B,N/A,https://finance.yahoo.com/quote/LUV?p=LUV
181,MO,,47.80,-0.40,-0.83%,8.088M,,88.845B,,https://finance.yahoo.com/quote/MO?p=MO
182,WU,,24.41,-0.19,-0.77%,7.072M,,10.031B,,https://finance.yahoo.com/quote/WU?p=WU
183,BCS,,9.69,-0.05,-0.51%,7.062M,,41.739B,,https://finance.yahoo.com/quote/BCS?p=BCS
184,SU,,23.01,+0.50,+2.22%,7.088M,,34.779B,,https://finance.yahoo.com/quote/SU?p=SU
185,CIG,,2.1100,+0.0500,+2.43%,7.028M,,3.367B,,https://finance.yahoo.com/quote/CIG?p=CIG
186,TAL,,68.53,+1.60,+2.39%,7.235M,,41.145B,N/A,https://finance.yahoo.com/quote/TAL?p=TAL
187,IVZ,,25.33,+0.14,+0.56%,5.187M,,11.628B,,https://finance.yahoo.com/quote/IVZ?p=IVZ
188,PG,,126.91,-0.43,-0.34%,6.796M,,312.513B,,https://finance.yahoo.com/quote/PG?p=PG
189,IQ,,27.69,-0.14,-0.50%,10.11M,,21.855B,,https://finance.yahoo.com/quote/IQ?p=IQ
190,ON,,38.80,+1.25,+3.33%,7.836M,,15.981B,,https://finance.yahoo.com/quote/ON?p=ON
191,JNPR,,25.25,+0.56,+2.27%,6.735M,,8.286B,,https://finance.yahoo.com/quote/JNPR?p=JNPR
192,DISCA,,66.97,+1.15,+1.75%,9.101M,,29.428B,,https://finance.yahoo.com/quote/DISCA?p=DISCA
193,NVDA,,519.74,+21.01,+4.21%,7.292M,,322.239B,,https://finance.yahoo.com/quote/NVDA?p=NVDA
194,MOS,,33.45,+0.39,+1.18%,6.516M,,12.681B,,https://finance.yahoo.com/quote/MOS?p=MOS
195,COTY,,8.85,+0.10,+1.14%,6.515M,,6.786B,N/A,https://finance.yahoo.com/quote/COTY?p=COTY
196,CSTM,,16.75,+1.32,+8.55%,6.602M,,2.344B,,https://finance.yahoo.com/quote/CSTM?p=CSTM
197,HMY,,4.4700,-0.1100,-2.40%,6.738M,,2.662B,N/A,https://finance.yahoo.com/quote/HMY?p=HMY
198,MAC,,13.41,-0.34,-2.47%,6.816M,,2.075B,N/A,https://finance.yahoo.com/quote/MAC?p=MAC
199,EPD,,23.30,+0.05,+0.22%,6.107M,,50.831B,,https://finance.yahoo.com/quote/EPD?p=EPD
200,RIDE,,17.71,+0.71,+4.18%,6.574M,,2.921B,N/A,https://finance.yahoo.com/quote/RIDE?p=RIDE
201,IBN,,17.44,+0.19,+1.10%,6.76M,,60.09B,,https://finance.yahoo.com/quote/IBN?p=IBN
202,VIPS,,42.41,+0.40,+0.95%,11.53M,,28.782B,,https://finance.yahoo.com/quote/VIPS?p=VIPS
203,BSX,,38.65,-0.69,-1.75%,6.244M,,54.737B,,https://finance.yahoo.com/quote/BSX?p=BSX
204,BTG,,4.5600,+0.0700,+1.56%,6.429M,,4.75B,,https://finance.yahoo.com/quote/BTG?p=BTG
205,NEM,,58.45,+0.27,+0.46%,6.394M,,46.778B,,https://finance.yahoo.com/quote/NEM?p=NEM
206,LMND,,105.88,+11.81,+12.55%,6.289M,,6.489B,N/A,https://finance.yahoo.com/quote/LMND?p=LMND
207,RTX,,77.05,+0.49,+0.64%,6.14M,,117.076B,N/A,https://finance.yahoo.com/quote/RTX?p=RTX
208,JNJ,,159.14,-0.01,-0.01%,6.099M,,418.969B,,https://finance.yahoo.com/quote/JNJ?p=JNJ
209,RUN,,63.46,+7.86,+14.14%,6.484M,,12.856B,N/A,https://finance.yahoo.com/quote/RUN?p=RUN
210,AA,,32.16,+0.18,+0.56%,6.157M,,5.99B,N/A,https://finance.yahoo.com/quote/AA?p=AA
211,AR,,10.56,+0.22,+2.13%,6.592M,,3.181B,N/A,https://finance.yahoo.com/quote/AR?p=AR
212,KDP,,33.30,-0.26,-0.77%,6.254M,,46.862B,,https://finance.yahoo.com/quote/KDP?p=KDP
213,SE,,236.79,+19.58,+9.01%,6.09M,,121.22B,N/A,https://finance.yahoo.com/quote/SE?p=SE
214,JCI,,61.09,+0.86,+1.43%,6.168M,,43.885B,,https://finance.yahoo.com/quote/JCI?p=JCI
215,RF,,21.44,-0.07,-0.33%,6.039M,,20.597B,,https://finance.yahoo.com/quote/RF?p=RF
216,USB,,53.35,-0.43,-0.80%,6.141M,,80.162B,,https://finance.yahoo.com/quote/USB?p=USB
217,CFG,,44.63,+0.01,+0.02%,6.119M,,18.972B,,https://finance.yahoo.com/quote/CFG?p=CFG
218,TCOM,,41.41,+1.86,+4.70%,6.633M,,24.559B,N/A,https://finance.yahoo.com/quote/TCOM?p=TCOM
219,ABNB,,197.87,+14.08,+7.66%,6.031M,,118.217B,N/A,https://finance.yahoo.com/quote/ABNB?p=ABNB
220,EXC,,42.03,+0.17,+0.41%,6.023M,,41.035B,,https://finance.yahoo.com/quote/EXC?p=EXC
221,AMCR,,11.73,-0.20,-1.68%,6.007M,,18.322B,,https://finance.yahoo.com/quote/AMCR?p=AMCR
222,CRM,,215.95,+3.99,+1.88%,6.342M,,198.185B,,https://finance.yahoo.com/quote/CRM?p=CRM
223,GLW,,40.00,+1.03,+2.64%,5.661M,,30.735B,,https://finance.yahoo.com/quote/GLW?p=GLW
224,SUMO,,22.27,-3.48,-13.51%,6.058M,,2.279B,N/A,https://finance.yahoo.com/quote/SUMO?p=SUMO
225,BRK-B,,260.91,-3.08,-1.17%,5.771M,,602.595B,,https://finance.yahoo.com/quote/BRK-B?p=BRK-B
226,EBAY,,56.24,+0.90,+1.63%,5.888M,,38.268B,,https://finance.yahoo.com/quote/EBAY?p=EBAY
227,TDOC,,198.77,+14.32,+7.76%,5.815M,,30.352B,N/A,https://finance.yahoo.com/quote/TDOC?p=TDOC
228,AMAT,,117.19,+4.51,+4.00%,6.834M,,107.541B,,https://finance.yahoo.com/quote/AMAT?p=AMAT
229,SDC,,11.93,+0.88,+7.92%,5.769M,,4.607B,N/A,https://finance.yahoo.com/quote/SDC?p=SDC
230,NKE,,141.19,+3.60,+2.62%,5.697M,,222.585B,,https://finance.yahoo.com/quote/NKE?p=NKE
231,INFY,,19.08,+0.40,+2.14%,5.663M,,81.485B,,https://finance.yahoo.com/quote/INFY?p=INFY
232,MPC,,58.00,-0.18,-0.31%,5.749M,,37.774B,N/A,https://finance.yahoo.com/quote/MPC?p=MPC
233,TJX,,66.08,+0.48,+0.73%,5.229M,,79.338B,,https://finance.yahoo.com/quote/TJX?p=TJX
234,SNOW,,237.81,+10.70,+4.71%,5.682M,,52.375B,N/A,https://finance.yahoo.com/quote/SNOW?p=SNOW
235,TECK,,22.82,+1.44,+6.74%,5.585M,,11.99B,,https://finance.yahoo.com/quote/TECK?p=TECK
236,CVS,,72.35,-0.35,-0.48%,5.536M,,94.876B,,https://finance.yahoo.com/quote/CVS?p=CVS
237,MTG,,13.05,+0.09,+0.69%,3.962M,,4.421B,,https://finance.yahoo.com/quote/MTG?p=MTG
238,SLM,,17.29,+0.85,+5.17%,7.355M,,6.288B,,https://finance.yahoo.com/quote/SLM?p=SLM
239,VICI,,28.56,-0.21,-0.73%,5.242M,,15.337B,,https://finance.yahoo.com/quote/VICI?p=VICI
240,NEE,,74.86,+0.40,+0.54%,6.173M,,146.716B,,https://finance.yahoo.com/quote/NEE?p=NEE
241,ENB,,36.34,+0.43,+1.20%,5.334M,,73.412B,,https://finance.yahoo.com/quote/ENB?p=ENB
242,BEN,,28.79,+0.17,+0.59%,5.262M,,14.551B,,https://finance.yahoo.com/quote/BEN?p=BEN
243,SYF,,42.66,+1.05,+2.52%,5.37M,,24.908B,,https://finance.yahoo.com/quote/SYF?p=SYF
244,APO,,47.83,+2.30,+5.05%,5.218M,,11.107B,,https://finance.yahoo.com/quote/APO?p=APO
245,APPS,,86.98,+11.09,+14.61%,5.417M,,7.777B,,https://finance.yahoo.com/quote/APPS?p=APPS
246,ADT,,8.57,+0.64,+8.07%,5.436M,,7.082B,N/A,https://finance.yahoo.com/quote/ADT?p=ADT
247,VRT,,21.17,+0.54,+2.62%,5.226M,,7.44B,N/A,https://finance.yahoo.com/quote/VRT?p=VRT
248,FSLY,,75.44,+6.45,+9.35%,5.03M,,8.645B,N/A,https://finance.yahoo.com/quote/FSLY?p=FSLY
249,LYFT,,62.72,+1.41,+2.30%,5.461M,,20.631B,N/A,https://finance.yahoo.com/quote/LYFT?p=LYFT
250,CNP,,21.29,-0.03,-0.14%,5.219M,,11.743B,N/A,https://finance.yahoo.com/quote/CNP?p=CNP
251,TRIP,,55.31,+3.51,+6.78%,5.669M,,7.457B,N/A,https://finance.yahoo.com/quote/TRIP?p=TRIP
252,BFT,,14.92,+0.14,+0.95%,5.094M,,2.736B,N/A,https://finance.yahoo.com/quote/BFT?p=BFT
253,RSI,,18.71,+2.16,+13.05%,5.17M,,3.832B,N/A,https://finance.yahoo.com/quote/RSI?p=RSI
254,DOCU,,225.22,+12.55,+5.90%,5.186M,,43.075B,N/A,https://finance.yahoo.com/quote/DOCU?p=DOCU
255,CARR,,39.23,+0.45,+1.16%,5.156M,,34.102B,N/A,https://finance.yahoo.com/quote/CARR?p=CARR
256,IBM,,127.14,-0.73,-0.57%,5.148M,,113.612B,,https://finance.yahoo.com/quote/IBM?p=IBM
257,OPK,,4.4400,+0.1300,+3.02%,5.73M,,2.975B,,https://finance.yahoo.com/quote/OPK?p=OPK
258,NVTA,,42.92,+4.26,+11.02%,4.971M,,8.44B,N/A,https://finance.yahoo.com/quote/NVTA?p=NVTA
259,UAA,,22.82,+0.28,+1.24%,4.955M,,9.52B,N/A,https://finance.yahoo.com/quote/UAA?p=UAA
260,UWMC,,8.65,+0.07,+0.82%,5.048M,,13.885B,N/A,https://finance.yahoo.com/quote/UWMC?p=UWMC
261,TXN,,174.95,+5.53,+3.26%,5.003M,,161.48B,,https://finance.yahoo.com/quote/TXN?p=TXN
